      id  redshift          PSW             PSW_err          PMW             PMW_err          PLW             PLW_err                 IRAC1              IRAC1_err                 IRAC2              IRAC2_err                 IRAC3              IRAC3_err                 IRAC4              IRAC4_err                MIPS1             MIPS1_err                   S11                S11_err                  L15               L15_err                 L18W              L18W_err                 u_prime             u_prime_err                 g_prime             g_prime_err                 r_prime            r_prime_err                 i_prime             i_prime_err                z_prime             z_prime_err 
  1124.0      0.58  7.765424911  5.8596902968508555   8.98086255   6.370507154128069  3.544793594   6.818222846640138               0.03922   0.004006804711986847               0.02654   0.002760673106327513               0.02534  0.0026160382260204075  0.019510000000000003   0.002016556718765927              0.16747  0.017065181188607406                   nan                    nan                  nan                   nan                  nan                   nan   0.0011909859140006222   0.0008747273356715572   0.0023545429937801114   0.0004935121435732556   0.0050571591946914525    0.10312528069865654    0.011063858812349578   0.0014370781412036127   0.012939176143372652   0.0012993941998292867 
  1169.0      0.51  21.82964909      6.203305254414  18.73118767   6.577852826776763  15.35676039   6.978631873588038               0.02027  0.0020853846168033367               0.01697   0.001730724992597033  0.014410000000000001  0.0015096294247264792               0.02427  0.0024493323580110564              0.09119  0.009599800050001042                   nan                    nan                  nan                   nan              0.20513  0.025371008434825766  0.00012586547671426923  0.00028314028286560873  0.00041677976460336726  0.00018891168539109966   0.0019584235597299104   0.041793919989218664   0.0035967199599607354   0.0006405451748766342   0.004445356803332118  0.00047374419850183455 
  1170.0      1.36  5.262084064   5.828211053253687  4.728968216   6.321413127224162  1.216184221   6.805993904393431               0.03632   0.003693280926222645               0.03775  0.0038106462706475395               0.02579   0.002639098520328485               0.02632   0.002657879606001747              0.12021    0.0124268636831664                   nan                    nan              0.15518  0.027753710094327932              0.30397   0.03420292398319185   6.080042639975971e-05  0.00019721114940195604  0.00013424762926023706  0.00010963407941138398                0.000363   0.008358462711645176   0.0010663668236620357   0.0003041339892410977  0.0023329564138607805   0.0003171708683552749 
  1182.0      0.93  4.255386977   5.823505040862809  3.956893817  6.3189686949774595  0.969886659  6.8096638197358805               0.05447   0.005494379764814224               0.04061   0.004089269005580338               0.02962   0.003009043701909296               0.02092  0.0021093515591290132  0.15274000000000001  0.015789080910553345                   nan                    nan                  nan                   nan                  nan                   nan   0.0006193079072081329    0.000624816805175139   0.0012243529304316954   0.0003281661906928308   0.0023545429937801114    0.04981362554168693    0.007654320184257837   0.0010896180794888913   0.010183724105764732   0.0010355060593156401 
  1258.0      0.91  6.350908474   5.845070363818238  3.335118769   6.316154283359216  2.866260898  6.8161393512584665   0.16424000000000002    0.01649054808064305               0.11449    0.01155750842526191               0.09166    0.00923539149143121               0.06643   0.006712007821807124              0.18363  0.018710635184300932                   nan                    nan                  nan                   nan                  nan                   nan   0.0011479067906411218   0.0008640407007373559    0.004167797646033672   0.0007108121542454429    0.012243529304316953    0.23884379715793838     0.02804830523897399   0.0032046208538046923   0.035967199599607355   0.0036119432973149256 
  1293.0      1.26  0.521442163   5.807136493425783  1.122410713   6.306839380872875   1.61111364   6.810014240652423               0.06318   0.006480024999951776  0.048130000000000006    0.00489099877325685               0.03545   0.003702961652515457  0.023920000000000004   0.002439685225597762              0.09999   0.01075829452097311                   nan                    nan                  nan                   nan                  nan                   nan                     nan                     nan                     nan                     nan                     nan                    nan     0.00895172279416064    0.001217007602469966   0.012939176143372652   0.0013156871847529897 
  1328.0      0.98  10.28539586   5.898260346119407  15.16812022   6.486407626795906   13.0950896   6.933666524147819   0.06498999999999999   0.006749029633954795  0.047740000000000005   0.004885967253267259   0.03227000000000001   0.003475288333361709               0.02996  0.0030574688878220826              0.32206  0.032476127170584866                   nan                    nan                  nan                   nan                  nan                   nan   0.0012703009563129384   0.0008982206492324966   0.0024883222620231634   0.0005015297531603441    0.004445356803332118    0.09122264242887479    0.013800875086436374   0.0017142633350890298    0.01802630126864719   0.0018329585519865819 
  1380.0      1.08  8.619494251   5.873800384161512   9.41188721   6.378839285807616   5.06006767  6.8312809104739225  0.041479999999999996   0.004172337953713721               0.03138   0.003163391218297225               0.02379   0.002399112544254646  0.020260000000000004   0.002036854437607165              0.21084   0.02148277114340699                   nan                    nan                  nan                   nan                  nan                   nan   0.0009636218189971195   0.0007869471633028221                     nan                     nan    0.003466623087257816    0.07200023023570123                     nan                     nan     0.0148561619481994    0.001510611005931185 
  1438.0      0.91  19.38337345   6.123125389633739  13.25091752   6.444785284911722  6.046864247    6.83707295383161               0.02632   0.002745145533482697               0.01966  0.0020584596182582748               0.01799  0.0019094504444996734                  0.02  0.0020522183119736554              0.22488  0.023674250653399783                   nan                    nan                  nan                   nan                  nan                   nan  0.00015132358619973212  0.00030978048361197095   0.0004054213589443437   0.0001837633175032202   0.0005914344598482188   0.013329705344467955    0.001940468624611006   0.0004384681932371281  0.0018361435230713065   0.0002384956068106225 
  1500.0       1.0  6.483684923  5.8411522457124105  1.620001995   6.306469849563504  0.536423562   6.806095002869264               0.02929  0.0029575565928651308               0.02186   0.002218782549057027  0.019370000000000002   0.001964909412670213               0.01634  0.0016515314105399268              0.15847  0.016684597957397716                   nan                    nan                  nan                   nan                  nan                   nan  0.00015413690171251163  0.00031128592671069875   0.0003498699355755013  0.00017117950004562837   0.0007176399793606044    0.01603531334512366   0.0027283911052860934   0.0005282452654007822   0.004445356803332118   0.0005289169162747737 
  1525.0      1.05  12.92644806   5.951394869281553   14.1729223   6.464020801207378  7.311903546   6.848276052360566  0.039560000000000005    0.00404009108808205   0.03313000000000001  0.0034330699089881647  0.020829999999999998  0.0021791027970245003               0.02254   0.002324955053328989              0.14857  0.015139304772676982                   nan                    nan                  nan                   nan                  nan                   nan                     nan                     nan                     nan                     nan   0.0003498699355755013    0.00806901851777125   0.0012586547671426926   0.0003159674270082665  0.0024883222620231634   0.0003232067212419911 
